EntryID,Source,Year,Month,Day,Asking Price,Real Price,Street,No,Street2,No2,Size,Revenu,brut,net,Price,SalesPrice,yield,yields,Charges,CreditF,Credit,Annuite,CreditFonc,InitMiseAPrix,Comment,Type,"Date 
Completed"
321,Figaro,1882,4,8,0,0,Rue Moncey,9,,,253,21315,1,,300000,,0.07105,,,0,,,0,,,,India
322,Figaro,1882,4,9,0,0,Fg St Antoine,195,,,,8259,0,,100000,,0.08259,,,0,,,0,,,,India
323,Figaro,1882,4,10,0,0,Rue Montaigne,21,,,,26400,1,,375000,,0.0704,,,0,,,0,,,,India
324,Figaro,1882,4,10,0,0,Rue Traversiere-St-Antoine,43,,,,6885,1,,80000,,0.0860625,,,0,,,0,,,,India
325,Figaro,1882,4,11,0,0,Rue Baudin,23,,,,20820,1,,250000,,0.08328,,,0,,,0,,,,India
326,Figaro,1882,4,12,0,0,Rue Biot,24,,,,5280,0,,75000,,0.0704,,,0,,,0,,,,India
327,Figaro,1882,4,12,0,0,Rues Richelieu,27,Moliere,16_18,525,48140,1,,600000,,0.080233333,,,0,,,0,,,,India
328,Figaro,1882,4,13,0,0,Rue Bonaparte,70,,,,14733,0,,200000,,0.073665,,,0,,,0,,,,India
329,Figaro,1882,4,14,0,0,Rue du Mail,20_22,,,322.26,44770,1,,500000,,0.08954,,,0,,,0,,,,India
330,Figaro,1882,4,17,0,0,Rue Lecourbe,155,Angle de la Rue Petel,,,15885,1,,200000,,0.079425,,,0,,,0,,,,India
331,Figaro,1882,4,19,0,0,Avenue de Lowendall,6,,,1208,24610,0,,300000,,0.082033333,,,0,,,0,,,,India
332,Figaro,1882,4,19,0,0,Avenue de Lowendall,2,,,780,13880,0,,150000,,0.092533333,,,0,,,0,,,,India
333,Figaro,1882,4,20,0,0,Rue Nollet,106,,,,21000,0,,300000,,0.07,,,0,,,0,,,,India
334,Figaro,1882,4,21,0,0,Rue des Jeuneurs,42,,,1831.3,111980,0,,1600000,,0.0699875,,,0,,,0,,,,India
335,Figaro,1882,4,21,0,0,Avenue Ledru-Rollin,53,,,,13735,0,,160000,,0.08584375,,,0,,,0,,,,India
336,Figaro,1882,4,21,0,0,Rue Bonaparte,56,,,,6800,0,,80000,,0.085,,,0,,,0,,,,India
337,Figaro,1882,4,21,0,0,Rue Lafayette,208,,,1776,35805,0,,550000,,0.0651,,,0,,,0,,,,India
338,Figaro,1882,4,21,0,0,Quai Voltaire,5,,,,33500,0,,450000,,0.074444444,,,0,,,0,,,,India
339,Figaro,1882,4,29,0,0,Rue Casimir-Delavigne,3,,,920.79,53000,1,,750000,,0.070666667,,,0,,,0,,,,India
340,Figaro,1882,4,29,0,0,Rue Mezieres,13,,,,22750,0,,280000,,0.08125,,,0,,,0,,,,India
341,Figaro,1882,4,30,0,0,Rue de Clery,28,,,1030,96747,0,,1200000,,0.0806225,,,0,,,0,,,,India
342,Figaro,1882,5,2,0,0,Rue Bachelet,19,,,,9350,0,,130000,,0.071923077,,,0,,,0,,,,India
343,Figaro,1882,5,3,0,0,Rues Bonaparte,11,,,584,29000,1,,350000,,0.082857143,,,0,,,0,,,,India
344,Figaro,1882,5,3,0,0,Rue Rollin,3,,,,9550,0,,125000,,0.0764,,,0,,,0,,,,India
345,Figaro,1882,5,3,0,0,Rue de la Procession,62 bis,,,,1550,1,,14000,,0.110714286,,,0,,,0,,,,India
346,Figaro,1882,5,3,0,0,Rue Montgolfier,18,,,,15366,1,,150000,,0.10244,,,0,,,0,,,,India
347,Figaro,1882,5,4,0,0,Rue Capron,9,,,,3750,1,,45000,,0.083333333,,,0,,,0,,,,India
348,Figaro,1882,5,5,0,0,Place Daumesnil,10,,,,7730,1,,95000,,0.081368421,,,0,,,0,,,,India
349,Figaro,1882,5,5,0,0,Rue du Jour,13,,,,17364,0,,200000,,0.08682,,,0,,,0,,,,India
350,Figaro,1882,5,6,0,0,Rue des Sts-Peres,9,,,855,26333,0,,300000,,0.087776667,,,0,,,0,,,,India
